"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2027,"14.1 (13.9, 14.4)","14.4 (14.1, 14.7)","14.0 (13.8, 14.3)","13.7 (13.5, 14.0)","14.0 (13.7, 14.2)","13.3 (13.1, 13.6)","13.1 (12.9, 13.3)"
2037,"14.0 (13.7, 14.4)","14.0 (13.7, 14.4)","13.9 (13.6, 14.2)","12.9 (12.5, 13.2)","13.3 (12.9, 13.6)","12.2 (11.9, 12.5)","11.9 (11.6, 12.3)"
2047,"14.4 (14.0, 14.8)","14.1 (13.7, 14.5)","14.2 (13.8, 14.6)","12.4 (12.0, 12.8)","12.9 (12.6, 13.3)","11.4 (11.1, 11.8)","11.1 (10.8, 11.5)"
2057,"14.3 (13.8, 14.7)","13.6 (13.2, 14.0)","14.0 (13.6, 14.3)","11.3 (11.0, 11.6)","12.0 (11.6, 12.4)","10.0 ( 9.7, 10.3)"," 9.7 ( 9.3, 10.1)"
2067,"14.1 (13.6, 14.5)","12.9 (12.5, 13.3)","13.7 (13.3, 14.1)","10.0 ( 9.7, 10.3)","10.9 (10.6, 11.3)"," 8.5 ( 8.2,  8.8)"," 8.1 ( 7.7,  8.6)"
