"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2017,"    0 (    0,     0)","    0 (   0,     0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)"
2027,"-1336 (-1447, -1224)"," 3085 (2941,  3229)"," -932 (-1030,  -833)"," 5639 ( 5495,  5783)"," 4422 ( 4225,  4620)"," 6923 ( 6724,  7121)"," 3041 ( 2927,  3154)"
2037,"-1968 (-2208, -1728)"," 6583 (6237,  6928)","-1142 (-1346,  -938)","12031 (11690, 12372)"," 9560 ( 9079, 10041)","14812 (14332, 15292)"," 8266 ( 8020,  8512)"
2047,"-3265 (-3617, -2912)"," 8667 (8233,  9100)","-1805 (-2084, -1526)","17750 (17334, 18165)","13704 (13011, 14397)","22301 (21624, 22978)","14805 (14440, 15171)"
2057,"-5390 (-5868, -4912)"," 9617 (9185, 10050)","-3072 (-3419, -2725)","23134 (22747, 23520)","16418 (15644, 17192)","28934 (28222, 29646)","22560 (22045, 23076)"
2067,"-8324 (-8968, -7680)","10424 (9976, 10871)","-4963 (-5409, -4516)","29220 (28861, 29579)","18954 (18117, 19791)","35922 (35235, 36609)","31601 (30874, 32328)"
