"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2027,"13.4 (13.2, 13.6)","12.9 (12.6, 13.2)","13.4 (13.2, 13.6)","12.3 (12.0, 12.5)","12.5 (12.3, 12.8)","11.9 (11.7, 12.2)","12.4 (12.1, 12.6)"
2037,"13.2 (12.9, 13.6)","12.5 (12.1, 12.9)","13.2 (12.9, 13.5)","11.4 (11.0, 11.7)","11.8 (11.4, 12.1)","10.8 (10.4, 11.1)","11.2 (10.9, 11.5)"
2047,"13.6 (13.2, 14.0)","12.4 (12.0, 12.8)","13.5 (13.1, 13.8)","10.9 (10.5, 11.2)","11.4 (11.0, 11.8)","10.0 ( 9.6, 10.3)","10.4 (10.0, 10.8)"
2057,"13.5 (13.0, 13.9)","11.9 (11.5, 12.3)","13.3 (12.9, 13.6)"," 9.8 ( 9.5, 10.1)","10.5 (10.2, 10.9)"," 8.7 ( 8.4,  9.0)"," 9.0 ( 8.6,  9.4)"
2067,"13.3 (12.8, 13.7)","11.4 (11.0, 11.8)","13.0 (12.6, 13.4)"," 8.7 ( 8.4,  9.0)"," 9.6 ( 9.3, 10.0)"," 7.4 ( 7.1,  7.7)"," 7.5 ( 7.1,  7.9)"
