"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2027,"11.3 (11.2, 11.5)","12.2 (12.1, 12.3)","11.4 (11.3, 11.6)","11.6 (11.6, 11.7)","12.0 (11.9, 12.1)","11.4 (11.3, 11.5)","10.3 (10.2, 10.5)"
2037,"10.7 (10.6, 10.9)","11.6 (11.5, 11.8)","10.9 (10.7, 11.0)","10.6 (10.4, 10.7)","11.1 (11.0, 11.3)","10.1 (10.0, 10.3)"," 8.8 ( 8.7,  9.0)"
2047,"10.9 (10.7, 11.1)","11.5 (11.4, 11.7)","11.0 (10.9, 11.2)","10.0 ( 9.9, 10.2)","10.7 (10.6, 10.9)"," 9.3 ( 9.2,  9.5)"," 8.0 ( 7.9,  8.2)"
2057,"10.6 (10.5, 10.8)","11.1 (10.9, 11.2)","10.8 (10.6, 10.9)"," 9.1 ( 9.0,  9.2)"," 9.9 ( 9.8, 10.0)"," 8.1 ( 8.0,  8.3)"," 6.7 ( 6.6,  6.9)"
2067,"10.3 (10.2, 10.5)","10.6 (10.4, 10.7)","10.5 (10.3, 10.6)"," 8.1 ( 8.0,  8.2)"," 9.1 ( 8.9,  9.2)"," 7.0 ( 6.8,  7.1)"," 5.3 ( 5.2,  5.4)"
