"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2017,"   0 (    0,    0)","    0 (    0,     0)","   0 (   0,    0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)"
2027,"2042 ( 1374, 2710)"," 4144 ( 3656,  4633)","2420 (1796, 3045)"," 6695 ( 6208,  7183)"," 5764 ( 5273,  6255)"," 8261 ( 7771,  8751)"," 6394 ( 5713,  7074)"
2037,"4754 ( 3402, 6105)"," 8730 ( 7628,  9832)","5508 (4280, 6737)","14107 (13035, 15180)","12320 (11207, 13434)","17489 (16402, 18577)","14705 (13321, 16090)"
2047,"4958 ( 3138, 6778)","11416 (10020, 12813)","6284 (4724, 7844)","20299 (18996, 21602)","17212 (15743, 18681)","25565 (24181, 26948)","22202 (20300, 24104)"
2057,"2900 (  699, 5102)","12537 (11104, 13969)","4983 (3253, 6712)","25677 (24432, 26922)","20047 (18495, 21599)","32100 (30729, 33471)","29228 (26793, 31662)"
2067," -95 (-2811, 2620)","13516 (12059, 14974)","2898 ( 909, 4886)","31704 (30551, 32858)","22625 (21033, 24216)","38868 (37591, 40146)","37278 (34053, 40503)"
