"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2027,"11.2 (11.0, 11.4)","10.4 (10.2, 10.6)","11.4 (11.2, 11.6)"," 9.9 ( 9.7, 10.1)","10.1 ( 9.9, 10.3)"," 9.6 ( 9.4,  9.7)","10.3 (10.1, 10.5)"
2037,"10.8 (10.6, 11.1)"," 9.7 ( 9.4, 10.0)","11.0 (10.7, 11.2)"," 8.8 ( 8.5,  9.0)"," 9.1 ( 8.9,  9.4)"," 8.3 ( 8.0,  8.5)"," 9.1 ( 8.8,  9.3)"
2047,"11.1 (10.8, 11.4)"," 9.5 ( 9.2,  9.8)","11.2 (10.9, 11.5)"," 8.2 ( 7.9,  8.4)"," 8.7 ( 8.4,  8.9)"," 7.4 ( 7.2,  7.7)"," 8.4 ( 8.0,  8.7)"
2057,"11.0 (10.6, 11.4)"," 9.1 ( 8.8,  9.3)","11.0 (10.7, 11.3)"," 7.3 ( 7.1,  7.5)"," 7.9 ( 7.7,  8.2)"," 6.4 ( 6.2,  6.6)"," 7.2 ( 6.9,  7.5)"
2067,"10.9 (10.5, 11.2)"," 8.7 ( 8.5,  9.0)","10.8 (10.5, 11.1)"," 6.6 ( 6.4,  6.8)"," 7.3 ( 7.1,  7.6)"," 5.5 ( 5.3,  5.7)"," 5.9 ( 5.6,  6.3)"
