"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2027," 9.5 ( 9.4,  9.6)","10.7 (10.6, 10.8)"," 9.7 ( 9.6,  9.9)","10.2 (10.1, 10.3)","10.5 (10.4, 10.6)","10.0 ( 9.9, 10.1)"," 8.6 ( 8.5,  8.8)"
2037," 9.1 ( 8.9,  9.2)","10.2 (10.0, 10.3)"," 9.3 ( 9.2,  9.5)"," 9.2 ( 9.1,  9.3)"," 9.7 ( 9.6,  9.9)"," 8.9 ( 8.7,  9.0)"," 7.5 ( 7.4,  7.7)"
2047," 9.3 ( 9.1,  9.4)","10.1 ( 9.9, 10.2)"," 9.5 ( 9.4,  9.7)"," 8.7 ( 8.6,  8.9)"," 9.4 ( 9.2,  9.5)"," 8.1 ( 8.0,  8.3)"," 6.9 ( 6.8,  7.1)"
2057," 9.0 ( 8.9,  9.2)"," 9.7 ( 9.5,  9.8)"," 9.3 ( 9.2,  9.5)"," 7.9 ( 7.8,  8.0)"," 8.6 ( 8.5,  8.8)"," 7.1 ( 7.0,  7.2)"," 5.8 ( 5.7,  6.0)"
2067," 8.7 ( 8.6,  8.9)"," 9.2 ( 9.1,  9.4)"," 9.1 ( 8.9,  9.2)"," 7.1 ( 7.0,  7.2)"," 7.9 ( 7.8,  8.0)"," 6.1 ( 5.9,  6.2)"," 4.6 ( 4.5,  4.7)"
