"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2027,"14.0 (14.0, 14.1)","12.2 (12.2, 12.3)","14.0 (14.0, 14.0)","11.6 (11.6, 11.7)","12.0 (11.9, 12.0)","11.4 (11.3, 11.5)","13.0 (12.9, 13.0)"
2037,"14.2 (14.2, 14.3)","11.8 (11.7, 11.9)","14.2 (14.1, 14.2)","10.7 (10.6, 10.8)","11.3 (11.2, 11.4)","10.3 (10.2, 10.4)","12.1 (12.0, 12.1)"
2047,"14.7 (14.6, 14.7)","11.7 (11.6, 11.8)","14.5 (14.5, 14.6)","10.2 (10.1, 10.3)","10.9 (10.8, 11.0)"," 9.5 ( 9.4,  9.6)","11.3 (11.2, 11.4)"
2057,"14.5 (14.4, 14.6)","11.3 (11.2, 11.4)","14.3 (14.3, 14.4)"," 9.3 ( 9.2,  9.3)","10.1 (10.0, 10.2)"," 8.3 ( 8.2,  8.4)"," 9.8 ( 9.7,  9.8)"
2067,"14.4 (14.3, 14.5)","10.8 (10.7, 10.9)","14.1 (14.0, 14.2)"," 8.3 ( 8.2,  8.4)"," 9.3 ( 9.2,  9.4)"," 7.1 ( 7.0,  7.2)"," 8.1 ( 8.0,  8.2)"
