"year","ELF","EP","ELF25","MLAEP","TAXEP","MLATAXEP","SFGELF"
2017,"    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)","    0 (    0,     0)"
2027," 4242 ( 3765,  4718)"," 3396 ( 3124,  3668)"," 4400 ( 3936,  4865)"," 5947 ( 5675,  6220)"," 4713 ( 4414,  5012)"," 7211 ( 6911,  7510)"," 8646 ( 8168,  9124)"
2037," 9398 ( 8543, 10252)"," 7848 ( 7300,  8397)"," 9510 ( 8688, 10331)","13241 (12697, 13786)","10743 (10100, 11386)","15938 (15298, 16577)","19411 (18557, 20265)"
2047,"11338 (10340, 12335)","10698 (10054, 11342)","11485 (10563, 12406)","19603 (18981, 20224)","15656 (14799, 16512)","24070 (23236, 24903)","28562 (27582, 29543)"
2057,"10853 ( 9810, 11896)","12090 (11467, 12713)","11088 (10201, 11975)","25198 (24641, 25755)","18809 (17898, 19721)","30917 (30084, 31750)","36936 (35943, 37930)"
2067," 9676 ( 8471, 10881)","13297 (12641, 13952)","10013 ( 9084, 10941)","31408 (30889, 31926)","21688 (20728, 22648)","37995 (37213, 38776)","46753 (45615, 47892)"
